review_id,review_date,product_id,product_name,user_id,channel,rating,review_text
20251109-M-025,2025-11-09,P102,Product 2,U3521,mobile,3,특별히 나쁘지도 좋지도 않네요.
20251113-W-026,2025-11-13,P108,Product 8,U3124,web,2,품질이 생각보다 좋지 않습니다.
20251112-W-027,2025-11-12,P104,Product 4,U1980,web,3,기대했던 것과 비슷합니다.
20251108-W-028,2025-11-08,P102,Product 2,U9736,web,4,배송도 빠르고 제품도 기대 이상입니다.
20251110-A-029,2025-11-10,P103,Product 3,U2906,app,1,품질이 생각보다 좋지 않습니다.
20251112-A-030,2025-11-12,P108,Product 8,U1751,app,3,보통 수준의 제품입니다.
20251110-M-031,2025-11-10,P106,Product 6,U9253,mobile,3,기대했던 것과 비슷합니다.
20251113-W-032,2025-11-13,P101,Product 1,U4114,web,4,가격 대비 성능이 정말 좋네요. 추천합니다!
20251111-W-033,2025-11-11,P108,Product 8,U1946,web,2,가격 대비 별로입니다. 환불하고 싶네요.
20251111-M-034,2025-11-11,P105,Product 5,U6039,mobile,5,디자인도 예쁘고 사용하기 편리합니다.
20251108-W-035,2025-11-08,P107,Product 7,U7846,web,3,특별히 나쁘지도 좋지도 않네요.
20251114-A-036,2025-11-14,P109,Product 9,U1316,app,3,보통 수준의 제품입니다.
20251111-W-037,2025-11-11,P104,Product 4,U3995,web,2,기대 이하입니다. 실망스러워요.
20251113-W-038,2025-11-13,P101,Product 1,U6114,web,2,기대 이하입니다. 실망스러워요.
20251112-M-039,2025-11-12,P108,Product 8,U5393,mobile,3,특별히 나쁘지도 좋지도 않네요.
20251113-M-040,2025-11-13,P102,Product 2,U6755,mobile,3,무난한 제품입니다. 평범해요.
20251112-A-041,2025-11-12,P106,Product 6,U5567,app,3,가격을 생각하면 적당한 것 같습니다.
20251111-A-042,2025-11-11,P108,Product 8,U7061,app,3,특별히 나쁘지도 좋지도 않네요.
20251111-A-043,2025-11-11,P103,Product 3,U5391,app,5,가격 대비 성능이 정말 좋네요. 추천합니다!
20251110-M-044,2025-11-10,P108,Product 8,U5525,mobile,4,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251109-W-045,2025-11-09,P110,Product 10,U6337,web,3,보통 수준의 제품입니다.
20251112-M-046,2025-11-12,P103,Product 3,U4100,mobile,4,재구매 의사 100%입니다. 강력 추천!
20251108-A-047,2025-11-08,P103,Product 3,U5241,app,1,사진과 실물이 너무 달라요.
20251111-W-048,2025-11-11,P106,Product 6,U5003,web,3,기대했던 것과 비슷합니다.
20251111-M-049,2025-11-11,P105,Product 5,U3654,mobile,4,디자인도 예쁘고 사용하기 편리합니다.
20251113-A-050,2025-11-13,P107,Product 7,U6491,app,5,재구매 의사 100%입니다. 강력 추천!
20251108-W-051,2025-11-08,P106,Product 6,U9122,web,5,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251113-A-052,2025-11-13,P105,Product 5,U2322,app,3,보통 수준의 제품입니다.
20251114-W-053,2025-11-14,P105,Product 5,U6763,web,1,가격 대비 별로입니다. 환불하고 싶네요.
20251113-A-054,2025-11-13,P105,Product 5,U9929,app,3,기대했던 것과 비슷합니다.
20251111-A-055,2025-11-11,P109,Product 9,U7372,app,5,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251114-A-056,2025-11-14,P109,Product 9,U6000,app,1,품질이 생각보다 좋지 않습니다.
20251113-M-057,2025-11-13,P103,Product 3,U9615,mobile,3,보통 수준의 제품입니다.
20251113-A-058,2025-11-13,P109,Product 9,U5883,app,5,재구매 의사 100%입니다. 강력 추천!
20251110-W-059,2025-11-10,P105,Product 5,U7398,web,3,특별히 나쁘지도 좋지도 않네요.
20251108-A-060,2025-11-08,P105,Product 5,U1148,app,1,가격 대비 별로입니다. 환불하고 싶네요.
20251110-M-061,2025-11-10,P105,Product 5,U2069,mobile,2,사진과 실물이 너무 달라요.
20251114-W-062,2025-11-14,P108,Product 8,U8986,web,2,품질이 생각보다 좋지 않습니다.
20251108-W-063,2025-11-08,P106,Product 6,U2803,web,3,특별히 나쁘지도 좋지도 않네요.
20251110-A-064,2025-11-10,P103,Product 3,U5563,app,3,기대했던 것과 비슷합니다.
20251110-M-065,2025-11-10,P109,Product 9,U2635,mobile,5,배송도 빠르고 제품도 기대 이상입니다.
20251111-A-066,2025-11-11,P106,Product 6,U7297,app,4,재구매 의사 100%입니다. 강력 추천!
20251113-A-067,2025-11-13,P101,Product 1,U7460,app,5,가격 대비 성능이 정말 좋네요. 추천합니다!
20251111-A-068,2025-11-11,P106,Product 6,U5883,app,1,사진과 실물이 너무 달라요.
20251108-A-069,2025-11-08,P108,Product 8,U7320,app,4,가격 대비 성능이 정말 좋네요. 추천합니다!
20251108-A-070,2025-11-08,P104,Product 4,U7696,app,5,재구매 의사 100%입니다. 강력 추천!
20251112-A-071,2025-11-12,P103,Product 3,U4715,app,3,특별히 나쁘지도 좋지도 않네요.
20251109-A-072,2025-11-09,P103,Product 3,U4113,app,4,재구매 의사 100%입니다. 강력 추천!
20251112-M-073,2025-11-12,P103,Product 3,U8616,mobile,3,무난한 제품입니다. 평범해요.
20251113-W-074,2025-11-13,P107,Product 7,U6935,web,4,디자인도 예쁘고 사용하기 편리합니다.
20251111-M-075,2025-11-11,P110,Product 10,U3134,mobile,3,특별히 나쁘지도 좋지도 않네요.
20251109-A-076,2025-11-09,P110,Product 10,U9209,app,1,사진과 실물이 너무 달라요.
20251109-W-077,2025-11-09,P110,Product 10,U2232,web,2,가격 대비 별로입니다. 환불하고 싶네요.
20251109-A-078,2025-11-09,P108,Product 8,U5638,app,4,배송도 빠르고 제품도 기대 이상입니다.
20251114-M-079,2025-11-14,P103,Product 3,U4196,mobile,1,기대 이하입니다. 실망스러워요.
20251114-M-080,2025-11-14,P106,Product 6,U9070,mobile,1,사진과 실물이 너무 달라요.
20251108-A-081,2025-11-08,P104,Product 4,U4799,app,2,기대 이하입니다. 실망스러워요.
20251108-A-082,2025-11-08,P101,Product 1,U2324,app,4,디자인도 예쁘고 사용하기 편리합니다.
20251114-W-083,2025-11-14,P102,Product 2,U6959,web,3,가격을 생각하면 적당한 것 같습니다.
20251113-M-084,2025-11-13,P109,Product 9,U7913,mobile,4,가격 대비 성능이 정말 좋네요. 추천합니다!
20251108-M-085,2025-11-08,P109,Product 9,U2274,mobile,3,무난한 제품입니다. 평범해요.
20251112-W-086,2025-11-12,P106,Product 6,U5895,web,5,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251113-A-087,2025-11-13,P105,Product 5,U3724,app,1,품질이 생각보다 좋지 않습니다.
20251113-A-088,2025-11-13,P107,Product 7,U4163,app,4,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251109-W-089,2025-11-09,P110,Product 10,U1805,web,3,보통 수준의 제품입니다.
20251110-W-090,2025-11-10,P109,Product 9,U5637,web,3,기대했던 것과 비슷합니다.
20251111-W-091,2025-11-11,P103,Product 3,U5663,web,1,배송이 너무 늦었어요. 불만족스럽습니다.
20251110-A-092,2025-11-10,P108,Product 8,U8756,app,3,보통 수준의 제품입니다.
20251112-A-093,2025-11-12,P102,Product 2,U6314,app,4,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251109-A-094,2025-11-09,P109,Product 9,U1992,app,3,가격을 생각하면 적당한 것 같습니다.
20251112-A-095,2025-11-12,P107,Product 7,U5695,app,4,정말 만족스러운 제품입니다. 품질이 훌륭해요!
