review_id,review_date,product_id,product_name,user_id,channel,rating,review_text
20251103-A-044,2025-11-03,P108,Product 8,U2170,app,4,디자인도 예쁘고 사용하기 편리합니다.
20251107-W-045,2025-11-07,P104,Product 4,U6911,web,3,기대했던 것과 비슷합니다.
20251107-A-046,2025-11-07,P104,Product 4,U5332,app,3,기대했던 것과 비슷합니다.
20251106-M-047,2025-11-06,P109,Product 9,U5276,mobile,4,가격 대비 성능이 정말 좋네요. 추천합니다!
20251101-A-048,2025-11-01,P104,Product 4,U4137,app,4,디자인도 예쁘고 사용하기 편리합니다.
20251101-W-049,2025-11-01,P105,Product 5,U3864,web,5,가격 대비 성능이 정말 좋네요. 추천합니다!
20251102-M-050,2025-11-02,P102,Product 2,U7157,mobile,5,디자인도 예쁘고 사용하기 편리합니다.
20251101-W-051,2025-11-01,P101,Product 1,U6906,web,3,기대했던 것과 비슷합니다.
20251101-A-052,2025-11-01,P103,Product 3,U6519,app,3,보통 수준의 제품입니다.
20251101-W-053,2025-11-01,P105,Product 5,U1690,web,2,배송이 너무 늦었어요. 불만족스럽습니다.
20251103-A-054,2025-11-03,P106,Product 6,U9835,app,3,무난한 제품입니다. 평범해요.
20251107-W-055,2025-11-07,P105,Product 5,U1943,web,3,기대했던 것과 비슷합니다.
20251103-M-056,2025-11-03,P110,Product 10,U7574,mobile,1,기대 이하입니다. 실망스러워요.
20251102-M-057,2025-11-02,P103,Product 3,U3966,mobile,2,가격 대비 별로입니다. 환불하고 싶네요.
20251103-M-058,2025-11-03,P102,Product 2,U9733,mobile,2,사진과 실물이 너무 달라요.
20251105-W-059,2025-11-05,P101,Product 1,U2724,web,2,배송이 너무 늦었어요. 불만족스럽습니다.
20251102-M-060,2025-11-02,P105,Product 5,U2311,mobile,3,무난한 제품입니다. 평범해요.
20251101-W-061,2025-11-01,P102,Product 2,U5752,web,1,품질이 생각보다 좋지 않습니다.
20251104-A-062,2025-11-04,P108,Product 8,U6712,app,3,무난한 제품입니다. 평범해요.
20251106-W-063,2025-11-06,P101,Product 1,U8643,web,4,재구매 의사 100%입니다. 강력 추천!
20251106-A-064,2025-11-06,P110,Product 10,U7585,app,1,품질이 생각보다 좋지 않습니다.
20251103-A-065,2025-11-03,P103,Product 3,U3509,app,3,특별히 나쁘지도 좋지도 않네요.
20251107-M-066,2025-11-07,P110,Product 10,U5527,mobile,1,가격 대비 별로입니다. 환불하고 싶네요.
20251104-M-067,2025-11-04,P106,Product 6,U1385,mobile,4,배송도 빠르고 제품도 기대 이상입니다.
20251101-W-068,2025-11-01,P101,Product 1,U1647,web,5,가격 대비 성능이 정말 좋네요. 추천합니다!
20251104-A-069,2025-11-04,P101,Product 1,U5199,app,4,정말 만족스러운 제품입니다. 품질이 훌륭해요!
20251107-W-070,2025-11-07,P101,Product 1,U4804,web,2,가격 대비 별로입니다. 환불하고 싶네요.
20251101-A-071,2025-11-01,P106,Product 6,U5812,app,5,재구매 의사 100%입니다. 강력 추천!
20251106-W-072,2025-11-06,P102,Product 2,U6035,web,1,사진과 실물이 너무 달라요.
20251103-W-073,2025-11-03,P103,Product 3,U8454,web,1,기대 이하입니다. 실망스러워요.
20251103-A-074,2025-11-03,P107,Product 7,U9828,app,3,가격을 생각하면 적당한 것 같습니다.
20251106-W-075,2025-11-06,P106,Product 6,U1196,web,1,배송이 너무 늦었어요. 불만족스럽습니다.
20251104-M-076,2025-11-04,P102,Product 2,U2290,mobile,2,품질이 생각보다 좋지 않습니다.
20251106-A-077,2025-11-06,P101,Product 1,U4156,app,3,무난한 제품입니다. 평범해요.
20251107-M-078,2025-11-07,P106,Product 6,U4353,mobile,5,가격 대비 성능이 정말 좋네요. 추천합니다!
20251102-A-079,2025-11-02,P107,Product 7,U1306,app,5,디자인도 예쁘고 사용하기 편리합니다.
20251106-M-080,2025-11-06,P109,Product 9,U4283,mobile,3,기대했던 것과 비슷합니다.
20251101-W-081,2025-11-01,P101,Product 1,U9518,web,2,배송이 너무 늦었어요. 불만족스럽습니다.
20251103-W-082,2025-11-03,P103,Product 3,U9956,web,3,특별히 나쁘지도 좋지도 않네요.
20251101-A-083,2025-11-01,P110,Product 10,U2452,app,4,배송도 빠르고 제품도 기대 이상입니다.
20251103-W-084,2025-11-03,P105,Product 5,U7358,web,1,기대 이하입니다. 실망스러워요.
20251102-W-085,2025-11-02,P101,Product 1,U7293,web,2,배송이 너무 늦었어요. 불만족스럽습니다.
